posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
144,145,21:32:23,00:00:00,Alejandro-Arturo GUILLEN-PERERA,N/D,N/D,M,VET-A,bluetrail,2018
145,146,21:35:56,00:00:00,Wiro JORDAN,N/D,N/D,M,VET-A,bluetrail,2018
146,147,21:38:36,00:00:00,Frank FISCHER,N/D,N/D,M,VET-B,bluetrail,2018
147,148,21:39:38,00:00:00,Hector FUENTES,N/D,N/D,M,VET-A,bluetrail,2018
148,149,21:44:48,00:00:00,Mariano STIVANELLO,N/D,N/D,M,VET-B,bluetrail,2018
149,150,21:44:49,00:00:00,Jose-Antonio GARNES-RODRIGUEZ,N/D,N/D,M,VET-A,bluetrail,2018
150,151,21:44:50,00:00:00,Asensio-Jose SOTO-HERRERO,N/D,N/D,M,VET-A,bluetrail,2018
151,152,21:50:04,00:00:00,Victoriano MARTINEZ-MOLINA,N/D,N/D,M,VET-A,bluetrail,2018
152,153,21:50:04,00:00:00,Jose-Ignacio HERNANDEZ-MESA,N/D,N/D,M,VET-A,bluetrail,2018
153,154,21:50:09,00:00:00,Oscar BERNARDO,N/D,N/D,M,SENIOR,bluetrail,2018
154,155,21:51:03,00:00:00,Victor-Malagon CANADILLAS-DE LA CRUZ,N/D,N/D,M,VET-B,bluetrail,2018
155,156,21:53:10,00:00:00,Santi FRIAS,N/D,N/D,M,VET-B,bluetrail,2018
156,157,21:53:13,00:00:00,Matthias SCHEFF,N/D,N/D,M,SENIOR,bluetrail,2018
157,158,21:55:13,00:00:00,Francisco-Ramon MORALES-MEDINA,N/D,N/D,M,SENIOR,bluetrail,2018
158,159,21:57:49,00:00:00,Alfonso CABRERA-SANTANA,N/D,N/D,M,VET-B,bluetrail,2018
159,160,21:58:26,00:00:00,Jesus GARVI,N/D,N/D,M,VET-B,bluetrail,2018
160,161,22:02:04,00:00:00,David PLASENCIA ALONSO,N/D,N/D,M,SENIOR,bluetrail,2018
161,162,22:09:02,00:00:00,Carlos Eduardo LUCIANO,N/D,N/D,M,VET-A,bluetrail,2018
162,163,22:09:54,00:00:00,Hector GONZALEZ,N/D,N/D,M,SENIOR,bluetrail,2018
