posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
107,108,16:53:11,00:00:00,Fabienne CARNAZZOLA,US TOUL ATHLETISME,N/D,F,VET-A,haria,2019
108,109,16:59:36,00:00:00,Carlos FERNÁNDEZ MORALES,ABS M,N/D,M,unkwnow,haria,2019
109,110,17:05:21,00:00:00,Luis MARTÍN MARRERO,HTT,N/D,M,VET-A,haria,2019
110,111,17:05:22,00:00:00,Jorge CABRERA RODRÍGUEZ,INDEPENDIENTE,N/D,M,VET-A,haria,2019
111,112,17:07:35,00:00:00,Rodrigo NARDILLO,INDEPENDIENTE,N/D,M,VET-A,haria,2019
112,113,17:07:35,00:00:00,David TURCANO,TRAIL THE WORLD,N/D,M,VET-A,haria,2019
113,114,17:13:45,00:00:00,Miguel Ángel MONTERO GONZÁLEZ,INDEPENDIENTE,N/D,M,VET-A,haria,2019
114,115,17:14:44,00:00:00,Fernando OJEDA ROMERO,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
115,116,17:17:33,00:00:00,Alicia ARROYO GOMEZ,VET F,N/D,F,unkwnow,haria,2019
116,117,17:17:34,00:00:00,Miguel Ángel ESCALERA CASTRO,CD HISPATRAIL,N/D,M,VET-A,haria,2019
117,118,17:17:37,00:00:00,Cesar Alberto FERNANDEZ PEREZ,VET M,N/D,M,unkwnow,haria,2019
118,119,17:39:57,00:00:00,Alejandro RODRIGUEZ GUILLEN,ABS M,N/D,M,unkwnow,haria,2019
119,120,17:53:01,00:00:00,Barbara REYES JIMENEZ,HTT,N/D,F,VET-A,haria,2019
120,121,17:53:36,00:00:00,Ricardo HERNÁNDEZ RODRÍGUEZ,JAIRA TRAIL,N/D,M,VET-A,haria,2019
121,122,17:55:48,00:00:00,Ani SANCHEZ MORENO,HTT,N/D,F,SENIOR,haria,2019
122,123,17:58:49,00:00:00,José María PÉREZ GONZÁLEZ,PICOCABRA TRAIL,N/D,M,SENIOR,haria,2019
123,124,18:00:22,00:00:00,Alberto VIRUÉS ÁVILA,VET M,N/D,M,unkwnow,haria,2019
124,125,18:00:30,00:00:00,Eulalia ÁVILA RUIZ,CLUB ATLETISMO DIVINA PASTORA,N/D,F,VET-A,haria,2019
125,126,18:07:39,00:00:00,Arancha PALACIO GONZALEZ,SOCIEDAD DEPORTIVA TORRELAVEGA,N/D,F,VET-A,haria,2019
126,127,18:18:17,00:00:00,Eduardo José MANTAS MARTÍN,CORRECAMINOS TENERIFE TEAM,N/D,M,VET-A,haria,2019
127,128,18:18:17,00:00:00,Angel David PRIETO NAVARRO,CORRECAMINOS TENERIFE TEAM,N/D,M,SENIOR,haria,2019
128,129,18:26:03,00:00:00,Francisco Javier ALVAREZ NUÑEZ,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
129,130,18:26:04,00:00:00,Jose Antonio ALVAREZ MARTIN,G.M.LUIS ESPINOSA,N/D,M,VET-A,haria,2019
130,131,18:26:04,00:00:00,Jose Antonio GARABAL GARCIA-TALAVERA,TENERIFE TRAIL,N/D,M,VET-A,haria,2019
131,132,18:41:31,00:00:00,Stefano MUSCO,NISCEMI RUNNING,N/D,M,SENIOR,haria,2019
132,999,00:00:00,00:00:00,Silvia BALBONTIN FERNANDEZ,VET F,N/D,F,unkwnow,haria,2019
133,999,00:00:00,00:00:00,Iñaki MUÑOZ JIMENEZ,VET M,N/D,M,unkwnow,haria,2019
134,999,00:00:00,00:00:00,José Francisco ALLO MARTIN,PICOCABRA TRAIL,N/D,M,SENIOR,haria,2019
135,999,00:00:00,00:00:00,Alberto PELÁEZ SERRANO,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
136,999,00:00:00,00:00:00,Ivan PEREZ BARRETO,C.M. EL JABLE,N/D,M,SENIOR,haria,2019
137,999,00:00:00,00:00:00,Jose Antonio DELGADO RODRIGUEZ,ABS M,N/D,M,unkwnow,haria,2019
138,999,00:00:00,00:00:00,José Manuel RODRÍGUEZ RUIZ,MAGEC TRAIL,N/D,M,VET-A,haria,2019
139,999,00:00:00,00:00:00,Carmelo GONZALEZ RODRIGUEZ,CAI GRAN CANARIA,N/D,M,SENIOR,haria,2019
140,999,00:00:00,00:00:00,Dieter METZ,TRIA TEAM DSW DARMSTADT,N/D,M,VET-A,haria,2019
141,999,00:00:00,00:00:00,Fernando PEREZ CABRERA,HTT,N/D,M,VET-A,haria,2019
142,999,00:00:00,00:00:00,Carlos ARAÑA MORENO,C.D. BICHILLORUNNER CANARIAS,N/D,M,VET-A,haria,2019
143,999,00:00:00,00:00:00,Jonathan PEREZ CABRERA,HTT,N/D,M,SENIOR,haria,2019
